bookID,title,authors,language_code,num_pages,publication_date
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,eng,652,9/16/2006
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,eng,870,09/01/2004
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,eng,352,11/01/2003
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,eng,435,05/01/2004
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,eng,2690,9/13/2004
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,eng,152,4/26/2005
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,eng,3342,09/12/2005
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815,11/01/2005
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815,4/30/2002
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,eng,215,08/03/2004
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,eng,6,3/23/2005
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng,815,1/17/1996
21,A Short History of Nearly Everything,Bill Bryson,eng,544,9/14/2004
22,Bill Bryson's African Diary,Bill Bryson,eng,55,12/03/2002
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,eng,256,9/14/2004
24,In a Sunburned Country,Bill Bryson,eng,335,5/15/2001
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,eng,304,6/28/2000
26,The Lost Continent: Travels in Small Town America,Bill Bryson,eng,299,8/28/1990
27,Neither Here nor There: Travels in Europe,Bill Bryson,eng,254,3/28/1993
28,Notes from a Small Island,Bill Bryson,eng,324,5/28/1997
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,eng,270,9/28/1991
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,eng,1728,9/25/2012
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,eng,1184,10/21/2004
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,eng,398,09/05/2003
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,eng,1216,10/01/2002
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,eng,218,11/05/2003
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,eng,224,11/15/2004
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,eng,558,7/28/2005
50,Hatchet (Brian's Saga  #1),Gary Paulsen,eng,208,04/01/2000
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,eng,48,8/28/1994
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,eng,144,1/23/2001
54,Molly Hatchet - 5 of the Best,Molly Hatchet,eng,56,06/10/2003
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,eng,228,11/01/2005
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,eng,304,11/01/2005
58,Changeling (Changeling  #1),Delia Sherman,eng,256,8/17/2006
59,The Changeling Sea,Patricia A. McKillip,eng,137,4/14/2003
61,The Changeling,Zilpha Keatley Snyder,eng,228,06/08/2004
63,The Changeling,Kate Horsley,eng,339,04/12/2005
66,The Changeling (Daughters of England  #15),Philippa Carr,eng,369,8/28/1990
67,The Known World,Edward P. Jones,eng,388,8/29/2006
68,The Known World,Edward P. Jones/Kevin R. Free,eng,14,6/15/2004
69,The Known World,Edward P. Jones,eng,576,6/15/2004
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,eng,334,5/15/2006
72,Artesia: Adventures in the Known World,Mark Smylie,eng,352,12/14/2005
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,eng,416,06/01/1982
75,Uncommon Carriers,John McPhee,eng,248,5/16/2006
76,Heirs of General Practice,John McPhee,eng,128,04/01/1986
77,The Control of Nature,John McPhee,eng,288,09/01/1990
78,Annals of the Former World,John McPhee,eng,720,01/06/1999
79,Coming Into the Country,John McPhee,eng,448,04/01/1991
80,La Place de la Concorde Suisse,John McPhee,fre,160,04/01/1994
81,Giving Good Weight,John McPhee,eng,288,04/01/1994
83,Rising from the Plains,John McPhee,eng,208,11/01/1987
85,The Heidi Chronicles,Wendy Wasserstein,eng,81,03/01/2002
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,eng,249,07/02/1991
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,eng,138,3/29/2006
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,eng,128,3/14/2006
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,eng,192,09/01/2003
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,eng,108,1/28/1997
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,eng,352,11/15/2002
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,eng,192,11/15/2004
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,eng,192,4/28/2003
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,eng,832,10/16/2003
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,eng,123,05/10/2004
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,eng,128,8/19/2004
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,eng,423,6/15/1987
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,eng,436,07/01/1987
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,eng,331,7/15/1987
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,eng,592,07/01/2004
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,eng,480,4/16/1984
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,eng,426,8/29/2006
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,eng,471,8/15/1987
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,eng,192,06/12/2002
122,The Power of One (The Power of One  #1),Bryce Courtenay,eng,544,9/29/1996
123,The Power of One (The Power of One  #1),Bryce Courtenay,eng,291,9/13/2005
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,eng,256,11/01/2004
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,eng,205,5/19/2006
